subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
121870,15,0,10.576326384819772,106.755,11.5105,0.0,52218.6,70517.6,41722.8,392.176,244.722,42.948,109236199531296.12,14.038366582063647
121871,15,0,10.135892874919783,86.4401,23.6875,0.0147267,52278.2,71200.6,42147.0,-1090.28,66.2414,-33.7402,109236199531296.12,14.038366582063647
121872,15,0,10.13889957823414,83.0422,16.059,0.0169272,52345.3,70560.6,41630.1,776.7,580.409,362.025,109236199531296.12,14.038366582063647
128393,17,1,12.119645744964224,392.043,298.91,0.0062182,43439.2,67877.4,44410.8,-222.394,5.3241,-387.127,105641558601823.14,14.023834800024265
128394,17,0,10.850491941176923,135.498,39.5664,0.0,43342.1,67398.0,44240.8,-943.269,-438.758,-614.266,105641558601823.14,14.023834800024265
128395,17,0,11.05666633431504,122.9,29.1275,0.0326631,43491.0,67426.1,45093.1,-123.571,348.69,-821.991,105641558601823.14,14.023834800024265
128396,17,0,10.939651877820255,131.478,17.0847,0.0,43720.9,67811.4,44531.5,-1036.4,-402.647,3.1955,105641558601823.14,14.023834800024265
128397,17,0,10.516352074520933,99.0689,41.0266,0.0,43865.4,68424.0,45033.1,354.52,-88.3821,-579.974,105641558601823.14,14.023834800024265
128398,17,0,10.961672564385196,136.825,8.648,0.0,43231.4,67939.6,44300.7,-550.019,-131.071,-250.344,105641558601823.14,14.023834800024265
128399,17,0,10.483681401880663,107.464,26.6587,0.0194481,42984.8,67495.2,44365.3,609.12,66.1364,-902.541,105641558601823.14,14.023834800024265
128400,17,0,10.615674888451455,95.5466,28.7477,0.0185196,42674.1,68318.1,44336.5,66.431,-255.485,-343.379,105641558601823.14,14.023834800024265
128401,17,0,10.707807702548195,117.394,13.3222,0.0,43898.9,67558.5,44535.5,-426.812,-53.9881,-773.582,105641558601823.14,14.023834800024265
128402,17,0,10.65322676064601,114.739,8.5239,0.0,42987.2,67699.9,44445.6,-507.865,-28.6186,-146.042,105641558601823.14,14.023834800024265
137885,20,1,11.928406285447197,372.185,354.286,0.00474528,70927.8,58946.0,40569.4,133.702,18.2013,172.967,95372046669711.39,13.9794211026284
137886,20,0,11.563003661856525,278.522,21.4543,0.0238308,70953.4,59057.1,40466.0,66.3292,-353.202,439.727,95372046669711.39,13.9794211026284
137887,20,0,10.568260633773194,101.581,33.6103,0.0130448,70795.5,58295.1,40417.8,424.93,448.179,288.13,95372046669711.39,13.9794211026284
137888,20,0,10.905642143717744,169.852,2.4004,0.00753827,70911.1,58920.5,40614.8,135.541,357.283,-36.9139,95372046669711.39,13.9794211026284
137889,20,0,10.646595874896246,110.796,15.9127,0.0,71056.0,58860.3,40368.8,655.037,-507.525,691.82,95372046669711.39,13.9794211026284
137890,20,0,10.269790673930249,81.7385,23.3803,0.0238989,71860.9,58438.1,40388.8,-121.086,303.752,403.924,95372046669711.39,13.9794211026284
